algo,OSCNN,CTN_V3,nne,MultiRocket,ConvTime,CTN_NT,fawaz
Plane_rank,3.0,7.0,4.0,1.0,6.0,4.0,1.0
ProximalPhalanxOutlineAgeGroup_rank,7.0,2.0,4.0,3.0,6.0,5.0,1.0
ProximalPhalanxOutlineCorrect_rank,2.0,7.0,4.0,2.0,6.0,5.0,1.0
ProximalPhalanxTW_rank,6.0,2.0,4.0,1.0,5.0,7.0,3.0
RefrigerationDevices_rank,7.0,4.0,5.0,1.0,2.0,3.0,6.0
ScreenType_rank,4.0,3.0,2.0,5.0,6.0,7.0,1.0
ShapeletSim_rank,7.0,1.0,4.0,5.0,3.0,6.0,2.0
ShapesAll_rank,4.0,7.0,3.0,6.0,1.0,2.0,5.0
SmallKitchenAppliances_rank,7.0,4.0,2.0,1.0,3.0,6.0,5.0
SonyAIBORobotSurface1_rank,5.0,1.0,7.0,4.0,3.0,6.0,2.0
SonyAIBORobotSurface2_rank,2.0,4.0,3.0,7.0,6.0,5.0,1.0
StarlightCurves_rank,3.0,5.0,2.0,1.0,4.0,7.0,6.0
Strawberry_rank,3.0,5.0,1.0,3.0,7.0,2.0,6.0
SwedishLeaf_rank,1.0,3.0,5.0,2.0,6.0,7.0,3.0
Symbols_rank,4.0,1.0,3.0,2.0,7.0,5.0,6.0
ToeSegmentation1_rank,2.0,6.0,1.0,5.0,3.0,4.0,7.0
ToeSegmentation2_rank,1.0,2.0,2.0,5.0,4.0,6.0,7.0
Trace_rank,3.0,1.0,6.0,1.0,7.0,4.0,4.0
TwoLeadECG_rank,4.0,7.0,5.0,6.0,3.0,2.0,1.0
TwoPatterns_rank,4.0,6.0,3.0,5.0,1.0,2.0,7.0
UWaveGestureLibraryAll_rank,3.0,2.0,6.0,1.0,4.0,5.0,7.0
Wine_rank,3.0,5.0,7.0,1.0,6.0,2.0,4.0
WordSynonyms_rank,1.0,2.0,4.0,7.0,5.0,3.0,6.0
Worms_rank,3.0,5.0,5.0,1.0,2.0,7.0,4.0
WormsTwoClass_rank,3.0,1.0,2.0,3.0,7.0,6.0,5.0
SyntheticControl_rank,2.0,7.0,3.0,5.0,4.0,1.0,6.0
UWaveGestureLibraryX_rank,2.0,4.0,3.0,1.0,5.0,6.0,7.0
UWaveGestureLibraryY_rank,5.0,2.0,6.0,1.0,4.0,3.0,7.0
UWaveGestureLibraryZ_rank,5.0,3.0,6.0,4.0,2.0,1.0,7.0
Wafer_rank,3.0,1.0,4.0,2.0,6.0,5.0,7.0
Yoga_rank,2.0,4.0,1.0,7.0,6.0,5.0,3.0
ECG200_rank,,2.0,2.0,1.0,6.0,4.0,5.0
